Date_2023,Age_days,Injury,Clonality,Spec,CGO,Removed_AB,SLA,LDMC,SRL,RDMC,Root_diameter,BB,AB,Flowering,N_roots,C_roots,N_leaves
20.4.,20,N,non-clon,Artemisia_campestris_L.,NA,NA,466.76,0.11,203.587,0.12,0.2136,0.0012,0.001,N,NA,MV,6.69
20.4.,20,N,non-clon,Artemisia_campestris_L.,NA,NA,726.28,0.04,496.956,0.0319,0.215,0.0006,0.0014,N,5.15,MV,6.64
20.4.,20,N,non-clon,Artemisia_campestris_L.,NA,NA,864.99,0.04,574.7664,0.0444,0.1636,0.0004,0.0008,N,NA,MV,5.61
20.4.,20,N,non-clon,Artemisia_campestris_L.,NA,NA,1068.7,0.03,425.1707,0.0526,0.1707,0.0012,0.001,N,4.74,MV,5.96
20.4.,20,N,non-clon,Artemisia_campestris_L.,NA,NA,456.14,0.05,364.618,0.0503,0.2016,0.002,0.003,N,4.39,MV,6.65
20.4.,20,N,non-clon,Artemisia_campestris_L.,NA,NA,360.68,0.07,208.8966,0.0813,0.2175,0.0026,0.0024,N,4.46,MV,6.53
20.4.,20,N,non-clon,Centaurea_stoebe_L._s.l.,NA,NA,526.05,0.1,278.654,0.0454,0.2646,0.0054,0.0052,N,3.6,MV,6.03
20.4.,20,N,non-clon,Centaurea_stoebe_L._s.l.,NA,NA,474.64,0.09,250.9087,0.0538,0.2406,0.0064,0.0104,N,4.53,MV,6.3
20.4.,20,N,non-clon,Centaurea_stoebe_L._s.l.,NA,NA,601.23,0.05,222.3883,0.0613,0.2637,0.005,0.0063,N,4.06,MV,6.43
20.4.,20,N,non-clon,Centaurea_stoebe_L._s.l.,NA,NA,570.7,0.08,232.1552,0.063,0.251,0.0044,0.0085,N,3.94,MV,5.84
20.4.,20,N,non-clon,Centaurea_stoebe_L._s.l.,NA,NA,622.91,0.07,257.9149,0.0597,0.2641,0.0038,0.0069,N,4.09,MV,5.91
20.4.,20,N,non-clon,Centaurea_stoebe_L._s.l.,NA,NA,468.51,0.09,251.2731,0.0584,0.2806,0.0048,0.0081,N,4.05,MV,6.48
20.4.,20,N,non-clon,Dianthus_carthusianorum_L.,NA,NA,354.84,0.17,2897.5826,0.0169,0.1436,0.0002,0.0016,N,NA,MV,4.81
20.4.,20,N,non-clon,Dianthus_carthusianorum_L.,NA,NA,299.64,0.23,421.7408,0.0789,0.1702,0.0012,0.0025,N,4.68,MV,5.75
20.4.,20,N,non-clon,Dianthus_carthusianorum_L.,NA,NA,238.91,0.29,343.7132,0.0964,0.1874,0.0016,0.0025,N,4.42,MV,6.49
20.4.,20,N,non-clon,Dianthus_carthusianorum_L.,NA,NA,448.92,0.15,353.6622,0.0988,0.168,0.0016,0.001,N,2.61,MV,6.5
20.4.,20,N,non-clon,Dianthus_carthusianorum_L.,NA,NA,542.88,0.14,397.1955,0.0933,0.1808,0.0014,0.0015,N,3.49,MV,6.04
20.4.,20,N,non-clon,Dianthus_carthusianorum_L.,NA,NA,670.97,0.13,516.1589,0.0877,0.1789,0.001,0.0012,N,3.25,MV,5.46
20.4.,20,N,non-clon,Galium_album_Mill._ssp._Album,NA,NA,921.59,0.08,470.1497,0.0545,0.1549,0.0012,0.0022,N,4.84,MV,6.31
20.4.,20,N,non-clon,Galium_album_Mill._ssp._Album,NA,NA,825.59,0.09,328.4602,0.0957,0.162,0.0018,0.0016,N,4.79,MV,6.99
20.4.,20,N,non-clon,Galium_album_Mill._ssp._Album,NA,NA,531.49,0.11,420.4038,0.0563,0.1514,0.0016,0.0019,N,4.39,MV,6.15
20.4.,20,N,non-clon,Galium_album_Mill._ssp._Album,NA,NA,315.92,0.22,193.288,0.1304,0.1629,0.0012,0.0011,N,5.07,MV,8.04
20.4.,20,N,non-clon,Galium_album_Mill._ssp._Album,NA,NA,421.83,0.14,419.724,0.1111,0.1438,0.0006,0.0008,N,NA,MV,NA
20.4.,20,N,non-clon,Galium_album_Mill._ssp._Album,NA,NA,909.68,0.11,374.9274,0.12,0.1529,0.0006,0.0002,N,4.25,MV,6.46
20.4.,20,N,non-clon,Hypericum_montanum_L.,NA,NA,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV
20.4.,20,N,non-clon,Hypericum_montanum_L.,NA,NA,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV
20.4.,20,N,non-clon,Hypericum_montanum_L.,NA,NA,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV
20.4.,20,N,non-clon,Hypericum_montanum_L.,NA,NA,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV
20.4.,20,N,non-clon,Hypericum_montanum_L.,NA,NA,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV
20.4.,20,N,non-clon,Hypericum_montanum_L.,NA,NA,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV
20.4.,20,N,non-clon,Lychnis_flos-cuculi_L.,NA,NA,307.33,0.2,697.8494,0.0769,0.1529,0.0004,0.0011,N,NA,MV,5.54
20.4.,20,N,non-clon,Lychnis_flos-cuculi_L.,NA,NA,676.16,0.13,388.8169,0.0625,0.1853,0.0002,0.0004,N,4.15,MV,NA
20.4.,20,N,non-clon,Lychnis_flos-cuculi_L.,NA,NA,557.11,0.09,567.278,0.069,0.1687,0.0012,0.0018,N,4.27,MV,5.45
20.4.,20,N,non-clon,Lychnis_flos-cuculi_L.,NA,NA,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV
20.4.,20,N,non-clon,Lychnis_flos-cuculi_L.,NA,NA,359.53,0.24,268.9825,0.1071,0.1753,0.0006,0.0008,N,NA,MV,5.45
20.4.,20,N,non-clon,Lychnis_flos-cuculi_L.,NA,NA,476.31,0.16,1383.2313,0.0417,0.1474,0.0002,0.0013,N,3.72,MV,6.52
20.4.,20,N,non-clon,Lythrum_salicaria_L.,NA,NA,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV
20.4.,20,N,non-clon,Lythrum_salicaria_L.,NA,NA,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV
20.4.,20,N,non-clon,Lythrum_salicaria_L.,NA,NA,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV
20.4.,20,N,non-clon,Lythrum_salicaria_L.,NA,NA,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV
20.4.,20,N,non-clon,Lythrum_salicaria_L.,NA,NA,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV,MV
